pipeline_pair,structure,r,p,n,p_adj
freesurfer741ants243_vs_samseg8001ants243,Brainstem,0.06798899591294126,0.13527523136922084,484,1.0
freesurfer741ants243_vs_samseg8001ants243,Left-Accumbens-area,0.5419418024813136,2.693826384969997e-38,484,2.4244437464729973e-36
freesurfer741ants243_vs_samseg8001ants243,Left-Amygdala,0.2454169294576987,4.5239992581702045e-08,484,4.071599332353184e-06
freesurfer741ants243_vs_samseg8001ants243,Left-Caudate,0.05268454672116996,0.2473268741587652,484,1.0
freesurfer741ants243_vs_samseg8001ants243,Left-Hippocampus,0.191024582049674,2.3297050970269384e-05,484,0.0020967345873242446
freesurfer741ants243_vs_samseg8001ants243,Left-Pallidum,0.14683769792993415,0.0011967511313133073,484,0.10770760181819765
freesurfer741ants243_vs_samseg8001ants243,Left-Putamen,0.1629639938883958,0.00031817893433115413,484,0.02863610408980387
freesurfer741ants243_vs_samseg8001ants243,Left-Thalamus,-0.49045285393831733,1.1693274658655197e-30,484,1.0523947192789676e-28
freesurfer741ants243_vs_samseg8001ants243,Right-Accumbens-area,0.46102365493809866,7.65420769431573e-27,484,6.888786924884158e-25
freesurfer741ants243_vs_samseg8001ants243,Right-Amygdala,0.18369465598068244,4.7933977239992124e-05,484,0.004314057951599291
freesurfer741ants243_vs_samseg8001ants243,Right-Caudate,0.18588035514557213,3.876709281699082e-05,484,0.0034890383535291737
freesurfer741ants243_vs_samseg8001ants243,Right-Hippocampus,0.23142319226084515,2.63002930573666e-07,484,2.3670263751629937e-05
freesurfer741ants243_vs_samseg8001ants243,Right-Pallidum,-0.05498145790984563,0.22728666716982862,484,1.0
freesurfer741ants243_vs_samseg8001ants243,Right-Putamen,0.0843337726411067,0.06376072779230547,484,1.0
freesurfer741ants243_vs_samseg8001ants243,Right-Thalamus,-0.31020756372677594,2.9552214251510392e-12,484,2.6596992826359353e-10
freesurfer8001ants243_vs_freesurfer741ants243,Brainstem,0.0951370366941578,0.036407152342014706,484,1.0
freesurfer8001ants243_vs_freesurfer741ants243,Left-Accumbens-area,0.46429299532552065,3.0062326076031246e-27,484,2.705609346842812e-25
freesurfer8001ants243_vs_freesurfer741ants243,Left-Amygdala,-0.01793657052402232,0.6938646538494733,484,1.0
freesurfer8001ants243_vs_freesurfer741ants243,Left-Caudate,-0.35337473819444415,1.1089858240593254e-15,484,9.980872416533928e-14
freesurfer8001ants243_vs_freesurfer741ants243,Left-Hippocampus,-0.16336500525739772,0.0003073668703772194,484,0.027663018333949747
freesurfer8001ants243_vs_freesurfer741ants243,Left-Pallidum,0.20273767362597456,6.941837386171525e-06,484,0.0006247653647554372
freesurfer8001ants243_vs_freesurfer741ants243,Left-Putamen,0.2664529961073115,2.6039548695432882e-09,484,2.3435593825889594e-07
freesurfer8001ants243_vs_freesurfer741ants243,Left-Thalamus,0.056708468731328086,0.2129984418166399,484,1.0
freesurfer8001ants243_vs_freesurfer741ants243,Right-Accumbens-area,0.3646127632277369,1.1540887284737782e-16,484,1.0386798556264005e-14
freesurfer8001ants243_vs_freesurfer741ants243,Right-Amygdala,-0.1198328200493468,0.008314585277270898,484,0.7483126749543808
freesurfer8001ants243_vs_freesurfer741ants243,Right-Caudate,-0.2889731460702894,9.189401403092713e-11,484,8.270461262783442e-09
freesurfer8001ants243_vs_freesurfer741ants243,Right-Hippocampus,-0.174285081555655,0.00011625493897511522,484,0.01046294450776037
freesurfer8001ants243_vs_freesurfer741ants243,Right-Pallidum,0.17470851565435183,0.00011181894996335977,484,0.01006370549670238
freesurfer8001ants243_vs_freesurfer741ants243,Right-Putamen,0.13753278874619596,0.0024268228094855675,484,0.21841405285370108
freesurfer8001ants243_vs_freesurfer741ants243,Right-Thalamus,0.19561252385528607,1.4623146772420524e-05,484,0.001316083209517847
freesurfer8001ants243_vs_samseg8001ants243,Brainstem,-0.10092690456494648,0.02624095681047658,485,1.0
freesurfer8001ants243_vs_samseg8001ants243,Left-Accumbens-area,0.04692047339181647,0.3024386409082541,485,1.0
freesurfer8001ants243_vs_samseg8001ants243,Left-Amygdala,-0.3116753476154615,2.1889375980852683e-12,485,1.9700438382767415e-10
freesurfer8001ants243_vs_samseg8001ants243,Left-Caudate,-0.475224289882653,1.0782027947025995e-28,485,9.703825152323395e-27
freesurfer8001ants243_vs_samseg8001ants243,Left-Hippocampus,-0.11168288544148908,0.013858240515029076,485,1.0
freesurfer8001ants243_vs_samseg8001ants243,Left-Pallidum,0.11682914472554759,0.010021702611068647,485,0.9019532349961783
freesurfer8001ants243_vs_samseg8001ants243,Left-Putamen,0.16197169063617642,0.0003415896078931159,485,0.03074306471038043
