pipeline_pair,structure,r,p,n,p_adj
FS741_vs_Samseg8,Brainstem,-0.45781545678514535,3.412922622237424e-218,4229,3.071630360013682e-216
FS741_vs_Samseg8,Left-Accumbens-area,-0.10931603863684415,1.0170893166226192e-12,4229,9.153803849603573e-11
FS741_vs_Samseg8,Left-Amygdala,0.1524734005790953,2.0440879571966832e-23,4229,1.8396791614770148e-21
FS741_vs_Samseg8,Left-Caudate,-0.15319326889577303,1.2638414945376429e-23,4229,1.1374573450838787e-21
FS741_vs_Samseg8,Left-Hippocampus,-0.06023385707590428,8.874958838861002e-05,4229,0.007987462954974902
FS741_vs_Samseg8,Left-Pallidum,-0.1582638176678162,4.0013310534847087e-25,4229,3.601197948136238e-23
FS741_vs_Samseg8,Left-Putamen,0.06303383443303445,4.095838226856814e-05,4229,0.0036862544041711327
FS741_vs_Samseg8,Left-Thalamus,-0.7536140620791464,0.0,4229,0.0
FS741_vs_Samseg8,Right-Accumbens-area,0.1324541927069954,5.186942134939673e-18,4229,4.668247921445705e-16
FS741_vs_Samseg8,Right-Amygdala,0.018227964453768588,0.23596745414676576,4229,1.0
FS741_vs_Samseg8,Right-Caudate,-0.0976994610172094,1.9297718820813895e-10,4229,1.7367946938732506e-08
FS741_vs_Samseg8,Right-Hippocampus,-0.28282165922886016,1.299173026459217e-78,4229,1.1692557238132953e-76
FS741_vs_Samseg8,Right-Pallidum,-0.23315281589809028,2.605021567691192e-53,4229,2.344519410922073e-51
FS741_vs_Samseg8,Right-Putamen,0.03653063834606904,0.01751541796834427,4229,1.0
FS741_vs_Samseg8,Right-Thalamus,-0.7448741326960495,0.0,4229,0.0
FS8001_vs_FS741,Brainstem,-0.11385790033488942,1.117307073691205e-13,4229,1.0055763663220845e-11
FS8001_vs_FS741,Left-Accumbens-area,-0.20944734758030653,3.889670459618077e-43,4229,3.5007034136562695e-41
FS8001_vs_FS741,Left-Amygdala,-0.05494014838294288,0.000350973923677699,4229,0.03158765313099291
FS8001_vs_FS741,Left-Caudate,-0.4134662509765606,2.4407044135327935e-174,4229,2.1966339721795142e-172
FS8001_vs_FS741,Left-Hippocampus,-0.1018801620680517,3.1225914560607965e-11,4229,2.810332310454717e-09
FS8001_vs_FS741,Left-Pallidum,-0.0640402493609424,3.077785108089374e-05,4229,0.0027700065972804367
FS8001_vs_FS741,Left-Putamen,-0.12416636687013004,5.334639661398182e-16,4229,4.8011756952583636e-14
FS8001_vs_FS741,Left-Thalamus,-0.3417895529698682,3.383005152985777e-116,4229,3.0447046376871992e-114
FS8001_vs_FS741,Right-Accumbens-area,0.056153420279961855,0.0002586867948443445,4229,0.023281811535991
FS8001_vs_FS741,Right-Amygdala,0.012634507538480886,0.41140619502928827,4229,1.0
