pipeline_pair,structure,t,p,cohen_d,n,p_adj
FS741_vs_Samseg8,Brainstem,14.482758822869126,9.583931062392241e-46,0.4804555154041903,4229,8.625537956153017e-44
FS741_vs_Samseg8,Left-Accumbens-area,15.446572913829275,5.438297081010539e-52,0.4924300482149488,4229,4.894467372909486e-50
FS741_vs_Samseg8,Left-Amygdala,1.643315676834784,0.10043032462459284,0.05373431834043317,4229,1.0
FS741_vs_Samseg8,Left-Caudate,4.6394050572667895,3.6459098334410485e-06,0.15022088152992616,4229,0.0003281318850096944
FS741_vs_Samseg8,Left-Hippocampus,5.243740971932964,1.6989889792018134e-07,0.1732242981365873,4229,1.529090081281632e-05
FS741_vs_Samseg8,Left-Pallidum,8.659301209520377,7.313157980845979e-18,0.2753125818369601,4229,6.581842182761381e-16
FS741_vs_Samseg8,Left-Putamen,-0.8396479541864486,0.40117556325463355,-0.02731473640697617,4229,1.0
FS741_vs_Samseg8,Left-Thalamus,11.364134205282324,3.1551764843714956e-29,0.3772853054056894,4229,2.839658835934346e-27
FS741_vs_Samseg8,Right-Accumbens-area,7.933123144135404,3.07807295400748e-15,0.2598997685923723,4229,2.770265658606732e-13
FS741_vs_Samseg8,Right-Amygdala,5.904246551030455,4.009440617499459e-09,0.1956923876273134,4229,3.6084965557495127e-07
FS741_vs_Samseg8,Right-Caudate,9.003167299091812,3.9076189909268266e-19,0.2931838534228993,4229,3.516857091834144e-17
FS741_vs_Samseg8,Right-Hippocampus,8.623329429960075,1.0917020857397e-17,0.2836583816769582,4229,9.8253187716573e-16
FS741_vs_Samseg8,Right-Pallidum,6.68747656848174,2.672285256754092e-11,0.21393768177744166,4229,2.405056731078683e-09
FS741_vs_Samseg8,Right-Putamen,0.684911620977662,0.49345325986185373,0.022171250504376745,4229,1.0
FS741_vs_Samseg8,Right-Thalamus,12.421236722622103,1.7529769808246515e-34,0.40892440640007166,4229,1.5776792827421864e-32
FS8001_vs_FS741,Brainstem,6.635051206718394,3.9478696955629877e-11,0.2202206726691367,4229,3.553082726006689e-09
